"Titre de tracé : 10848912"
"#","Date Heure, GMT+02:00","Temp., °C (LGR S/N: 10848912, SEN S/N: 10848912, LBL: Temperature 1)","Temp., °C (LGR S/N: 10848912, SEN S/N: 10848912, LBL: Temperature 2)","Temp., °C (LGR S/N: 10848912, SEN S/N: 10848912, LBL: Temperature 3)","Temp., °C (LGR S/N: 10848912, SEN S/N: 10848912, LBL: Temperature 4)","Hôte connecté (LGR S/N: 10848912)","Arrêté (LGR S/N: 10848912)","Fin de fichier (LGR S/N: 10848912)"
279,04/12/19 09:30:00 AM,9.521,9.852,9.849,6.030,,,
280,04/12/19 09:45:00 AM,9.524,9.849,9.821,6.220,,,
281,04/12/19 10:00:00 AM,9.526,9.848,9.794,6.357,,,
282,04/12/19 10:15:00 AM,9.527,9.844,9.768,6.458,,,
283,04/12/19 10:30:00 AM,9.529,9.840,9.741,6.614,,,
284,04/12/19 10:45:00 AM,9.531,9.837,9.715,6.841,,,
285,04/12/19 11:00:00 AM,9.532,9.834,9.689,7.149,,,
286,04/12/19 11:15:00 AM,9.534,9.829,9.665,7.621,,,
287,04/12/19 11:30:00 AM,9.535,9.824,9.641,8.040,,,
288,04/12/19 11:45:00 AM,9.537,9.820,9.618,8.414,,,
289,04/12/19 12:00:00 PM,9.538,9.815,9.598,8.776,,,
290,04/12/19 12:15:00 PM,9.538,9.811,9.578,9.143,,,
291,04/12/19 12:30:00 PM,9.540,9.805,9.560,9.561,,,
292,04/12/19 12:45:00 PM,9.540,9.800,9.544,9.975,,,
293,04/12/19 01:00:00 PM,9.541,9.794,9.529,10.493,,,
294,04/12/19 01:15:00 PM,9.541,9.788,9.517,10.983,,,
295,04/12/19 01:30:00 PM,9.543,9.783,9.507,11.335,,,
296,04/12/19 01:45:00 PM,9.543,9.777,9.500,11.768,,,
297,04/12/19 02:00:00 PM,9.543,9.769,9.494,12.063,,,
298,04/12/19 02:15:00 PM,9.543,9.763,9.490,12.149,,,
299,04/12/19 02:30:00 PM,9.543,9.757,9.490,12.781,,,
300,04/12/19 02:45:00 PM,9.543,9.751,9.492,13.192,,,
301,04/12/19 03:00:00 PM,9.543,9.745,9.497,13.266,,,
302,04/12/19 03:15:00 PM,9.543,9.737,9.504,13.084,,,
