"Titre de tracé : 10848914"
"#","Date Heure, GMT+02:00","Temp., °C (LGR S/N: 10848914, SEN S/N: 10848914, LBL: Temperature 1)","Temp., °C (LGR S/N: 10848914, SEN S/N: 10848914, LBL: Temperature 2)","Temp., °C (LGR S/N: 10848914, SEN S/N: 10848914, LBL: Temperature 3)","Temp., °C (LGR S/N: 10848914, SEN S/N: 10848914, LBL: Temperature 4)","Hôte connecté (LGR S/N: 10848914)","Arrêté (LGR S/N: 10848914)","Fin de fichier (LGR S/N: 10848914)"
132,04/10/19 08:45:00 PM,11.073,11.158,11.189,10.983,,,
133,04/10/19 09:00:00 PM,10.638,10.730,10.779,10.626,,,
134,04/10/19 09:15:00 PM,10.306,10.410,10.453,10.343,,,
135,04/10/19 09:30:00 PM,9.977,10.076,10.115,9.937,,,
136,04/10/19 09:45:00 PM,9.898,10.009,10.061,10.162,,,
137,04/10/19 10:00:00 PM,10.303,10.358,10.404,10.595,,,
138,04/10/19 10:15:00 PM,10.551,10.594,10.631,10.754,,,
139,04/10/19 10:30:00 PM,10.789,10.825,10.858,10.992,,,
140,04/10/19 10:45:00 PM,11.012,11.047,11.085,11.227,,,
141,04/10/19 11:00:00 PM,11.113,11.149,11.192,11.295,,,
142,04/10/19 11:15:00 PM,10.960,11.014,11.052,11.009,,,
143,04/10/19 11:30:00 PM,10.701,10.788,10.834,10.800,,,
144,04/10/19 11:45:00 PM,10.392,10.478,10.539,10.430,,,
145,04/11/19 12:00:00 AM,10.167,10.265,10.337,10.343,,,
146,04/11/19 12:15:00 AM,10.096,10.179,10.240,10.259,,,
147,04/11/19 12:30:00 AM,9.958,10.041,10.098,10.101,,,
148,04/11/19 12:45:00 AM,9.826,9.906,9.950,9.944,,,
149,04/11/19 01:00:00 AM,9.746,9.809,9.852,9.889,,,
150,04/11/19 01:15:00 AM,9.695,9.752,9.791,9.821,,,
151,04/11/19 01:30:00 AM,9.564,9.628,9.672,9.678,,,
152,04/11/19 01:45:00 AM,9.373,9.450,9.498,9.484,,,
153,04/11/19 02:00:00 AM,9.208,9.285,9.345,9.345,,,
154,04/11/19 02:15:00 AM,9.074,9.152,9.203,9.208,,,
155,04/11/19 02:30:00 AM,8.961,9.024,9.074,9.086,,,
156,04/11/19 02:45:00 AM,8.717,8.789,8.843,8.795,,,
157,04/11/19 03:00:00 AM,8.067,8.190,8.297,8.109,,,
158,04/11/19 03:15:00 AM,7.649,7.782,7.903,7.815,,,
159,04/11/19 03:30:00 AM,6.925,7.094,7.201,6.884,,,
160,04/11/19 03:45:00 AM,5.842,6.080,6.201,5.851,,,
161,04/11/19 04:00:00 AM,5.173,5.406,5.541,5.424,,,
162,04/11/19 04:15:00 AM,4.867,5.077,5.235,5.250,,,
163,04/11/19 04:30:00 AM,4.772,4.930,5.079,5.155,,,
164,04/11/19 04:45:00 AM,4.444,4.587,4.697,4.636,,,
165,04/11/19 05:00:00 AM,3.873,4.068,4.182,4.086,,,
166,04/11/19 05:15:00 AM,3.408,3.600,3.707,3.546,,,
167,04/11/19 05:30:00 AM,2.973,3.178,3.289,3.183,,,
168,04/11/19 05:45:00 AM,2.823,3.027,3.176,3.205,,,
169,04/11/19 06:00:00 AM,2.418,2.640,2.815,2.866,,,
170,04/11/19 06:15:00 AM,2.244,2.419,2.535,2.538,,,
171,04/11/19 06:30:00 AM,1.896,2.054,2.202,2.223,,,
172,04/11/19 06:45:00 AM,1.464,1.662,1.820,1.870,,,
173,04/11/19 07:00:00 AM,1.342,1.510,1.664,1.776,,,
174,04/11/19 07:15:00 AM,1.294,1.485,1.654,1.732,,,
175,04/11/19 07:30:00 AM,1.427,1.673,1.831,1.914,,,
